Gridcode,longitude,latitude
101034,-72.004,44.314
101035,-71.645,44.314
101036,-71.286,44.314
101037,-70.926,44.314
101038,-70.567,44.314
101039,-70.208,44.314
101040,-69.848,44.314
101041,-69.489,44.314
101042,-69.148,44.321
101043,-68.715,44.336
101044,-68.395,44.338
101045,-75.563,44.546
101046,-75.238,44.571
101047,-74.879,44.571
101048,-74.52,44.571
101049,-74.16,44.571
101050,-73.801,44.571
101051,-73.442,44.571
101052,-73.082,44.571
101053,-72.723,44.571
101054,-72.364,44.571
101055,-72.004,44.571
101056,-71.645,44.571
101057,-71.286,44.571
101058,-70.926,44.571
101059,-70.567,44.571
101060,-70.208,44.571
101061,-69.848,44.571
101062,-69.489,44.571
101063,-69.13,44.571
101064,-68.768,44.575
101065,-68.414,44.576
101066,-68.047,44.579
101067,-67.699,44.605
101068,-75.206,44.787
101069,-74.878,44.826
101070,-74.52,44.826
101071,-74.16,44.826
101072,-73.801,44.826
101073,-73.442,44.826
101074,-73.082,44.826
101075,-72.723,44.826
101076,-72.364,44.826
101077,-72.004,44.826
101078,-71.645,44.826
101079,-71.286,44.826
101080,-70.926,44.826
101081,-70.567,44.826
101082,-70.208,44.826
101083,-69.848,44.826
101084,-69.489,44.826
101085,-69.13,44.826
101086,-68.77,44.826
101087,-68.411,44.826
101088,-68.052,44.826
101089,-67.692,44.826
101090,-67.333,44.827
101091,-71.278,45.076
101092,-70.926,45.081
101093,-70.567,45.081
101094,-70.208,45.081
101095,-69.848,45.081
101096,-69.489,45.081
101097,-69.13,45.081
101098,-68.77,45.081
101099,-68.411,45.081
101100,-68.052,45.081
101101,-67.692,45.081
101102,-67.338,45.065
101103,-70.557,45.326
101104,-70.208,45.334
101105,-69.848,45.334
101106,-69.489,45.334
101107,-69.13,45.334
101108,-68.77,45.334
101109,-68.411,45.334
101110,-68.052,45.334
101111,-67.692,45.334
101112,-70.523,45.563
101113,-70.208,45.586
101114,-69.848,45.586
101115,-69.489,45.586
101116,-69.13,45.586
101117,-68.77,45.586
101118,-68.411,45.586
101119,-68.052,45.586
101120,-67.715,45.559
101121,-70.186,45.824
101122,-69.848,45.837
101123,-69.489,45.837
101124,-69.13,45.837
101125,-68.77,45.837
101126,-68.411,45.837
101127,-68.052,45.837
101128,-70.156,46.082
101129,-69.848,46.086
101130,-69.489,46.086
101131,-69.13,46.086
101132,-68.77,46.086
101133,-68.411,46.086
101134,-68.052,46.086
101135,-69.848,46.335
101136,-69.489,46.335
101137,-69.13,46.335
101138,-68.77,46.335
101139,-68.411,46.335
101140,-68.052,46.335
101141,-69.843,46.58
101142,-69.489,46.583
101143,-69.13,46.583
101144,-68.77,46.583
101145,-68.411,46.583
101146,-68.052,46.583
101147,-69.779,46.803
101148,-69.489,46.829
101149,-69.13,46.829
101150,-68.77,46.829
101151,-68.411,46.829
101152,-68.052,46.829
101153,-69.464,47.061
101154,-69.13,47.074
101155,-68.769,47.073
101156,-68.411,47.074
101157,-68.059,47.07
101158,-69.169,47.309
